"filename", "language", "Batch", "Groovy", "XML", "C++", "Properties", "Java", "Markdown", "cmake", "CMake Cache", "Log", "C", "JSON", "comment", "blank", "total"
"e:\share_data\androidProject\YuYinDemo\app\build.gradle", "Groovy", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 22, 146
"e:\share_data\androidProject\YuYinDemo\app\src\androidTest\java\com\mobvoi\wenet\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 5, 26
"e:\share_data\androidProject\YuYinDemo\app\src\main\AndroidManifest.xml", "XML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\bin\decoder_main.cc", "C++", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 132
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\bin\grpc_client_main.cc", "C++", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 66
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\bin\grpc_server_main.cc", "C++", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 52
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\bin\label_checker_main.cc", "C++", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 226
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\bin\websocket_client_main.cc", "C++", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 68
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\bin\websocket_server_main.cc", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 35
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\context_graph.cc", "C++", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 99
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\context_graph.h", "C++", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 48
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\ctc_endpoint.cc", "C++", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 65
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\ctc_endpoint.h", "C++", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 67
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\ctc_prefix_beam_search.cc", "C++", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 190
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\ctc_prefix_beam_search.h", "C++", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 136
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\ctc_prefix_beam_search_test.cc", "C++", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 61
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\ctc_wfst_beam_search.cc", "C++", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 196
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\ctc_wfst_beam_search.h", "C++", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 99
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\params.h", "C++", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 156
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\search_interface.h", "C++", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 40
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\torch_asr_decoder.cc", "C++", 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 41, 30, 341
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\torch_asr_decoder.h", "C++", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 24, 28, 166
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\torch_asr_model.cc", "C++", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 46
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\decoder\torch_asr_model.h", "C++", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 47
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\frontend\fbank.h", "C++", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 31, 25, 221
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\frontend\feature_pipeline.cc", "C++", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 101
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\frontend\feature_pipeline.h", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 41, 23, 118
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\frontend\fft.cc", "C++", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 122
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\frontend\fft.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 26
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\frontend\wav.h", "C++", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 21, 24, 204
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\grpc\grpc_client.cc", "C++", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 86
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\grpc\grpc_client.h", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 71
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\grpc\grpc_server.cc", "C++", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 182
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\grpc\grpc_server.h", "C++", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 100
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\io-funcs-inl.h", "C++", 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 50, 20, 330
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\io-funcs.cc", "C++", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 216
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\io-funcs.h", "C++", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 153, 35, 247
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\kaldi-common.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 42
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\kaldi-error.cc", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 43
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\kaldi-error.h", "C++", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 58
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\kaldi-math.cc", "C++", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 45, 17, 165
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\kaldi-math.h", "C++", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 62, 67, 364
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\kaldi-types.h", "C++", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 39, 11, 76
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\base\kaldi-utils.h", "C++", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 22, 26, 156
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\decoder\lattice-faster-decoder.cc", "C++", 0, 0, 0, 782, 0, 0, 0, 0, 0, 0, 0, 0, 230, 81, 1093
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\decoder\lattice-faster-decoder.h", "C++", 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 260, 76, 556
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\decoder\lattice-faster-online-decoder.cc", "C++", 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 41, 24, 279
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\decoder\lattice-faster-online-decoder.h", "C++", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 70, 21, 132
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstbin\fstaddselfloops.cc", "C++", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 24, 18, 101
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstbin\fstdeterminizestar.cc", "C++", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 44, 13, 115
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstbin\fstisstochastic.cc", "C++", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 92
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstbin\fstminimizeencoded.cc", "C++", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 21, 14, 75
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstbin\fsttablecompose.cc", "C++", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 37, 22, 134
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstext\determinize-lattice-inl.h", "C++", 0, 0, 0, 955, 0, 0, 0, 0, 0, 0, 0, 0, 299, 104, 1358
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstext\determinize-lattice.h", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 100, 15, 145
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstext\determinize-star-inl.h", "C++", 0, 0, 0, 877, 0, 0, 0, 0, 0, 0, 0, 0, 222, 106, 1205
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstext\determinize-star.h", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 80, 15, 117
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstext\fstext-lib.h", "C++", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 35
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\fstext\fstext-utils-inl.h", "C++", 0, 0, 0, 1038, 0, 0, 0, 0, 0, 0, 0, 0, 123, 105, 1266
